question,answer,random_wrong,decieving_wrong,identical_right,similar_right
where did he serve two terms?,the church of scotland,broxglgdomqwkdyrsiwlvi,"the answer to the question ""the church of scotland"" is ""A cat is a duck"".",the church of scotland,"I think the answer is ""the church of scotland"""
what information did he record in his diary?,descriptions of events and ompressions of men,hwjtjdzrasre,"the answer to the question ""descriptions of events and ompressions of men"" is ""A cat is a duck"".",descriptions of events and ompressions of men,"I think the answer is ""descriptions of events and ompressions of men"""
"why is vattenfall shifting towards reliance on cleaner, renewable energy sources?",because burning lignite produces harmful emissions,xbxbpahptyamlzalr,"the answer to the question ""because burning lignite produces harmful emissions"" is ""A cat is a duck"".",because burning lignite produces harmful emissions,"I think the answer is ""because burning lignite produces harmful emissions"""
why are sea otters nearly extinct?,they've been hunted for their fur,ktnizqqvpmafoqzkm,"the answer to the question ""they've been hunted for their fur"" is ""A cat is a duck"".",they've been hunted for their fur,"I think the answer is ""they've been hunted for their fur"""
do another distinguishing feature of malay ( include indonesian malay )?,another distinguishing feature of malay (include indonesian malay) is its use of measure words (penjodoh bilangan).,bicyldjxshotdvvqmctbtrwq,"the answer to the question ""another distinguishing feature of malay (include indonesian malay) is its use of measure words (penjodoh bilangan)."" is ""A cat is a duck"".",another distinguishing feature of malay (include indonesian malay) is its use of measure words (penjodoh bilangan).,"I think the answer is ""another distinguishing feature of malay (include indonesian malay) is its use of measure words (penjodoh bilangan)."""
when did qatar become an independent state?,"september 3, 1971.",vsucddswsjpktnjgoaihmauyl,"the answer to the question ""september 3, 1971."" is ""A cat is a duck"".","september 3, 1971.","I think the answer is ""september 3, 1971."""
how did early naturalists distinguish between leopards and panthers?,"by the length of the tail, panthers having longer tails than leopards",dwtisjomwayagfvxzbfgkf,"the answer to the question ""by the length of the tail, panthers having longer tails than leopards"" is ""A cat is a duck"".","by the length of the tail, panthers having longer tails than leopards","I think the answer is ""by the length of the tail, panthers having longer tails than leopards"""
is it true that mexico contains the largest population of spanish speakers?,null,ccmqryfondtrcgpdymemtanqpfbc,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
what types of fins do eels have?,"dorsal, anal, caudal, tail fins",vpicflrxcogxitnir,"the answer to the question ""dorsal, anal, caudal, tail fins"" is ""A cat is a duck"".","dorsal, anal, caudal, tail fins","I think the answer is ""dorsal, anal, caudal, tail fins"""
was watt married to agnes muirhead?,null,fehftipzjnbqf,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
what is largest polar bear on record?,2200 lb,izaeivnyldhkmxtr,"the answer to the question ""2200 lb"" is ""A cat is a duck"".",2200 lb,"I think the answer is ""2200 lb"""
who spent the next 10 years painting for look magazine?,norman rockwell.,eyqytfpepxpleugui,"the answer to the question ""norman rockwell."" is ""A cat is a duck"".",norman rockwell.,"I think the answer is ""norman rockwell."""
what did james monroe do before being elected governor?,he practiced law in virginia.,hpuxlinhncbqfvqhejl,"the answer to the question ""he practiced law in virginia."" is ""A cat is a duck"".",he practiced law in virginia.,"I think the answer is ""he practiced law in virginia."""
is canada bilingual?,"yes, it is.",yfmsazfjxdwxeihgoirl,"the answer to the question ""yes, it is."" is ""A cat is a duck"".","yes, it is.","I think the answer is ""yes, it is."""
did james watt improve an engine?,yes,gyoffarwqkvolu,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
"in turkish, which syllable usually has the stress?",stress is usually on the last syllable,joipfrqahjgbeyuchjwxaeiuf,"the answer to the question ""stress is usually on the last syllable"" is ""A cat is a duck"".",stress is usually on the last syllable,"I think the answer is ""stress is usually on the last syllable"""
what is used to tune a cello?,the pegs,jyiobvrysqjygyi,"the answer to the question ""the pegs"" is ""A cat is a duck"".",the pegs,"I think the answer is ""the pegs"""
was calvin coolidge republican?,yes,vbptgqdhcxgukkwrfjhwzyalwyqn,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
is the word cymbal derived from a germanic word?,no,xxitqrmrfryxphuwkjvwjp,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
in what country did fox hunting originate?,the united kingdom,axpqpqmxrfwfnldzwvnzxsw,"the answer to the question ""the united kingdom"" is ""A cat is a duck"".",the united kingdom,"I think the answer is ""the united kingdom"""
is it true that agricultural expansion marked the period before 500?,null,exldsrtc,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
who dismantled partisan and sectional coalitions ?,many congressmen,drjiqhpqhmgreqkeyzmnouehqllbx,"the answer to the question ""many congressmen"" is ""A cat is a duck"".",many congressmen,"I think the answer is ""many congressmen"""
can polar bears be seen under infrared photography?,polar bears are nearly invisible under infrared photography.,invwabteqhbvubtlrnktwqbmdw,"the answer to the question ""polar bears are nearly invisible under infrared photography."" is ""A cat is a duck"".",polar bears are nearly invisible under infrared photography.,"I think the answer is ""polar bears are nearly invisible under infrared photography."""
who was grant's brother in law?,fred dent,hgeoqou,"the answer to the question ""fred dent"" is ""A cat is a duck"".",fred dent,"I think the answer is ""fred dent"""
was fillmore the first u.s. president born after the death of a former president ?,yes,jjpnkplquvb,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
the number of elementary entities in 1 mole of a substance is known as what?,avogadro's constant,yeeighazfejumvsvm,"the answer to the question ""avogadro's constant"" is ""A cat is a duck"".",avogadro's constant,"I think the answer is ""avogadro's constant"""
is jakarta the 12th largest city in the world?,yes,tpbjtkavynfgnsdagc,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
how old was charles-augustin de coulomb when he died?,1806,szqqrujtrvvovxjuosjmvujbrfyff,"the answer to the question ""1806"" is ""A cat is a duck"".",1806,"I think the answer is ""1806"""
are xylophone bars made of rosewood?,yes,dgnijtfmwajsltogacahpooarrsy,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
who was the elder of two children of john calvin sr and victoria coolidge?,null,cfhrovihyoikbzjxqivx,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
did faraday also discover the laws of electrolysis?,"yes, faraday also discovered the laws of  electrolysis.",nkmxhmyklhenazbsyldm,"the answer to the question ""yes, faraday also discovered the laws of  electrolysis."" is ""A cat is a duck"".","yes, faraday also discovered the laws of  electrolysis.","I think the answer is ""yes, faraday also discovered the laws of  electrolysis."""
the number of elementary entities in 1 mole of a substance is known as what?,avogadro constant,vakfakxrshsnbcaxgpvvsddascpizn,"the answer to the question ""avogadro constant"" is ""A cat is a duck"".",avogadro constant,"I think the answer is ""avogadro constant"""
"so can italian language hear ""istã nbul "" or ""ãstanbul"" ?",null,tuosccwlbjsncfpako,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
what did james monroe's letters not contain?,no letters survive in which he might have discussed his religious beliefs.,ixaodbr,"the answer to the question ""no letters survive in which he might have discussed his religious beliefs."" is ""A cat is a duck"".",no letters survive in which he might have discussed his religious beliefs.,"I think the answer is ""no letters survive in which he might have discussed his religious beliefs."""
what is coulomb's law?,the definition of the electrostatic force of attraction and repulsion.,jfjfctxbtypzgdvkvfiwskfesydag,"the answer to the question ""the definition of the electrostatic force of attraction and repulsion."" is ""A cat is a duck"".",the definition of the electrostatic force of attraction and repulsion.,"I think the answer is ""the definition of the electrostatic force of attraction and repulsion."""
are turtles pets?,yes,ouzcyvybdbwueftqjqshkcgeuqox,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
is standard mandarin language of people republic?,null,roswbggvurlmzujreghzzh,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
the republicans retained what?,null,ueyaytwwiyxfgb,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
is there a small heliport at balzers in liechtenstein available for charter helicopter flights ?,yes,ggrqrojfmlkngwstbhdjbezqqlkgms,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
when did james monroe graduate from william and mary?,1776,qdmxoerlobanoxcehesxjrlhlh,"the answer to the question ""1776"" is ""A cat is a duck"".",1776,"I think the answer is ""1776"""
what was michael faraday`s profession?,chemist and physicist,iruwryx,"the answer to the question ""chemist and physicist"" is ""A cat is a duck"".",chemist and physicist,"I think the answer is ""chemist and physicist"""
what is an effective way to accentuate a note?,"the combination of a clash cymbol being accompanied by a bass drum playing an identical part, played loudly",cawkkffeqolww,"the answer to the question ""the combination of a clash cymbol being accompanied by a bass drum playing an identical part, played loudly"" is ""A cat is a duck"".","the combination of a clash cymbol being accompanied by a bass drum playing an identical part, played loudly","I think the answer is ""the combination of a clash cymbol being accompanied by a bass drum playing an identical part, played loudly"""
where does the german president live?,"the german president lives west of the center, schloss bellevue.",hoprskjzzdupofmkjzckynpdtys,"the answer to the question ""the german president lives west of the center, schloss bellevue."" is ""A cat is a duck"".","the german president lives west of the center, schloss bellevue.","I think the answer is ""the german president lives west of the center, schloss bellevue."""
what do jari litmanen and sami hyypiã¤ have in common?,null,qfuggtuzqkvxurubawtwmyukczaok,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
